id,label,pagerank,is_seed
Artificial intelligence,Artificial intelligence,0.11487249269376022,True
15.ai,15.ai,0.04176203230459089,False
2001: A Space Odyssey,2001: A Space Odyssey,0.04019111168931484,False
2001: A Space Odyssey (novel),2001: A Space Odyssey (novel),0.020071346487513027,False
2024 Indian general election,2024 Indian general election,0.008683852497063292,False
3D optical data storage,3D optical data storage,0.008683852497063292,False
A* search algorithm,A* search algorithm,0.008683852497063292,False
A.I. Artificial Intelligence,A.I. Artificial Intelligence,0.020071346487513027,False
AAAI,AAAI,0.012374491430406233,False
ABB,ABB,0.008683852497063292,False
ACM Computing Classification System,ACM Computing Classification System,0.008683852497063292,False
"ACM Conference on Fairness, Accountability, and Transparency","ACM Conference on Fairness, Accountability, and Transparency",0.019373034090629092,False
ACM SIGEVO,ACM SIGEVO,0.025150959043221614,False
ACM SIGPLAN Notices,ACM SIGPLAN Notices,0.008683852497063292,False
AI-assisted software development,AI-assisted software development,0.03116000697016682,False
AI (disambiguation),AI (disambiguation),0.008683852497063292,False
AI Futures Project,AI Futures Project,0.021931588931024253,False
AI Mode,AI Mode,0.019373034090629092,False
AI Overviews,AI Overviews,0.025150959043221614,False
AI Safety Institute (United Kingdom),AI Safety Institute (United Kingdom),0.008683852497063292,False
AI Safety Summit 2023,AI Safety Summit 2023,0.01652292738320439,False
AI Seoul Summit 2024,AI Seoul Summit 2024,0.01652292738320439,False
AI Winter,AI Winter,0.008683852497063292,False
AI aftermath scenarios,AI aftermath scenarios,0.008683852497063292,False
AI agent,AI agent,0.04176203230459089,False
AI alignment,AI alignment,0.05459800072988403,False
AI anthropomorphism,AI anthropomorphism,0.041762032304590885,False
AI art,AI art,0.008683852497063292,False
AI boom,AI boom,0.05018446853552125,False
AI bubble,AI bubble,0.042746749721152666,False
AI capability control,AI capability control,0.021931588931024253,False
AI data center,AI data center,0.042491231318807964,False
AI effect,AI effect,0.041762032304590885,False
AI literacy,AI literacy,0.04151240004948569,False
AI nationalism,AI nationalism,0.041762032304590885,False
AI safety,AI safety,0.05943679599966474,False
